City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,poco verde,-10.7083,-38.1833,28.85,61,41,5.34,BR,1715196032
269,lieksa,63.3167,30.0167,-1.11,66,5,3.19,FI,1715196032
270,goris,41.9842,44.1158,8.55,82,100,1.79,GE,1715196032
271,road town,18.4167,-64.6167,28.02,78,20,4.12,VG,1715196013
272,santa ana,33.7456,-117.8678,25.04,57,20,4.12,US,1715195740
273,'ali al gharbi,32.4633,46.6864,24.71,29,0,3.78,IQ,1715196032
274,pisco,-13.7,-76.2167,21.68,83,40,4.63,PE,1715196033
275,calvinia,-31.4707,19.776,15.04,62,0,1.28,ZA,1715196033
276,praya,14.9215,-23.5087,26.78,58,2,6.56,CV,1715195867
277,serov,59.6033,60.5787,7.93,96,100,3.54,RU,1715196033
278,polyarnyy,69.1989,33.4478,-3.77,78,88,1.74,RU,1715196033
279,yeniseysk,58.4497,92.1703,4.97,84,37,3.58,RU,1715196033
280,noosa heads,-26.3833,153.15,18.52,69,94,7.02,AU,1715196033
281,leninskoye,41.7589,69.3864,21.63,45,100,2.26,KZ,1715196033
282,shevchenko,48.5,35.0,10.92,50,100,2.35,UA,1715196034
283,talcahuano,-36.7167,-73.1167,11.82,71,20,3.09,CL,1715196034
284,san luis de la loma,17.2706,-100.8939,30.41,50,13,4.09,MX,1715196034
285,daru,-9.0763,143.2092,25.42,92,100,7.67,PG,1715196034
286,mwene-ditu,-7.0,23.45,23.3,75,87,1.17,CD,1715196032
287,siwa oasis,29.2041,25.5195,27.07,16,2,4.85,EG,1715196034
288,tangalle,6.024,80.7911,25.66,92,100,3.07,LK,1715196034
289,praia da vitoria,38.7333,-27.0667,20.14,68,20,5.23,PT,1715196034
290,kanniyakumari,8.0833,77.5667,29.03,78,100,4.47,IN,1715196034
291,la ronge,55.1001,-105.2842,16.12,38,0,4.63,CA,1715195979
292,dorado,18.4588,-66.2677,27.94,83,75,4.12,PR,1715195761
293,ambovombe,-25.1667,46.0833,21.06,84,0,4.22,MG,1715196035
294,devils lake,48.1128,-98.8651,16.99,54,100,6.69,US,1715196035
295,sullivan,36.5168,-82.5332,19.58,100,100,3.09,US,1715196035
296,whitehorse,60.7161,-135.0538,8.78,49,75,6.71,CA,1715196035
297,kenai,60.5544,-151.2583,8.05,61,100,2.06,US,1715196035
298,revelstoke,50.9832,-118.2023,17.01,23,0,2.57,CA,1715196035
299,jianguang,28.1938,115.7836,18.87,78,100,2.49,CN,1715196035
300,at taj,24.2049,23.2857,29.92,14,100,4.48,LY,1715196035
301,ubari,26.5921,12.7805,30.48,9,9,2.99,LY,1715196035
302,fedorovskiy,45.0972,40.9517,11.76,92,98,2.24,RU,1715196036
303,crane,31.3974,-102.3501,31.14,10,0,7.69,US,1715196036
304,primero de enero,21.9469,-78.4283,31.65,49,96,6.19,CU,1715196036
305,kaihua,23.3687,104.28,16.44,89,100,0.75,CN,1715195797
306,petawawa,45.9001,-77.3328,9.88,90,100,3.6,CA,1715196014
307,cockburn town,21.4612,-71.1419,25.43,73,1,7.08,TC,1715195879
308,boda,4.3189,17.4695,22.89,96,98,0.99,CF,1715196036
309,papao,-17.75,-149.55,28.82,82,100,7.04,PF,1715196036
310,klyuchi,52.2667,79.1667,13.22,49,14,2.6,RU,1715196036
311,bathsheba,13.2167,-59.5167,30.34,74,75,8.23,BB,1715196036
312,gubkin,51.2817,37.5458,5.35,65,60,3.31,RU,1715196036
313,kailua-kona,19.6406,-155.9956,26.98,72,40,5.14,US,1715195811
314,pyhajarvi,67.0701,27.2176,-6.18,95,97,1.07,FI,1715196037
315,grand-bassam,5.2118,-3.7388,29.98,81,100,4.1,CI,1715196037
316,sakaiminato,35.55,133.2333,11.99,62,40,2.57,JP,1715196037
317,arkalyk,50.2486,66.9114,17.5,46,100,5.92,KZ,1715196037
318,rehoboth,-23.3167,17.0833,22.06,31,27,1.89,NA,1715196037
